"","CountyName","avg_CO","avg_CO_rate","sum_CO","n","CO_rate2","Customers_Served","avg_CO_rate2","ifelse(avg_CO_rate2 == avg_CO_rate, TRUE, FALSE)","RPL_THEMES","GEOID","X","count_nf","pct_pov","pct_unemp","pct_no_HS","number_over_65","pct_over_65","pct_under_17","pct_with_disability","pct_single_parent","pct_black","pct_asian","pct_white","pct_hispanic","pct_english_def","pct_multi_unit","pct_mobile_home","pct_overcrowded","pct_no_vehicle","pct_over65_alone","pct_insured","pct_own_occ","pct_SS","pct_PA_FS","tot_pop","median_HH_inc","median_home_value","RUCC_2013","X2013.code","Beneficiaries","EDB","count_hosp","EDB_per_65","pct_renter_occ","urban_rural","POP_DENSITY"
"11","Bastrop",1684.43909348442,0.049198835513898,594607,353,0.049198835513898,34237.3772852528,0.049198835513898,TRUE,0.6126,48021,10,5,11.5365061984279,3.53344453456165,18.075108918734,12303,14.5559735926741,25.5152504673339,13.6345422975582,5.99116186304798,7.07153167222735,0.84001798348359,52.3272047514257,37.6848631125624,5.36561902712555,6.1661395039121,25.5435325453637,4.60678111923664,4.51292479762231,20.0032512395351,83.6686620445135,77.6739274959916,33.8782214227054,11.2744906339212,84522,64597,172000,1,2,16484,640,2,5.20198325611639,22.3260725040084,1,36.74167301
"12","Baylor",89.1444759206831,0.0435161263296908,31468.0000000011,353,0.0435161263296908,2048.53886224382,0.0435161263296908,FALSE,0.0316,48023,11,1,12.4183006535948,1.30808950086059,14.5224940805051,867,24.2381884260554,20.8554654738608,19.519862817948,2.22222222222222,3.07520268381325,0,86.608890131395,8.52669835057311,0,3.62948960302457,8.58223062381852,1.24183006535948,3.0718954248366,45.7900807381776,85.3958273792512,72.3529411764706,54.3790849673203,10.718954248366,3577,40739,62000,8,6,983,50,1,5.76701268742791,27.6470588235294,0,1.592067112
"13","Bee",364.346187062603,0.0329085282921846,128614.204033099,353,0.0329085282921846,11071.48225614,0.0329085282921846,TRUE,0.9209,48025,12,2,21.1391945821744,3.26430722891566,24.5626789040847,3905,11.9744871362424,21.1646376989359,16.262961924971,7.37695005442012,6.83205053509552,0.518230045076815,31.3820490018705,58.8574407408543,2.51709540866167,13.2042089580035,12.9062296303194,5.32107872777845,7.50997702261458,24.1229193341869,80.8223565680426,62.7040754625711,34.2725843511912,16.3260370056839,32611,44578,90600,6,5,4735,241,1,6.17157490396927,37.2959245374289,0,14.3042654
"14","Bell",11696.362619925,0.0712020374318429,4128816.00483354,353,0.0712020374318429,164270.055209041,0.0712020374318429,FALSE,0.5534,48027,13,15,13.5228097058416,4.44885898230868,8.96798869132324,36793,10.5552909855583,27.758237849065,14.7234612362694,9.99519109292602,21.5150871837831,2.84157739819952,45.7707689041638,24.8248578494093,2.37130473508251,23.7087256568889,6.3559987998114,3.76969410460595,5.72178434904515,23.1919115049058,87.8760734583319,54.3096773141846,23.899453088704,13.8659537529852,348574,54884,147700,2,3,53037,1975,8,5.36786888810372,45.6903226858154,1,128.0070387
"15","Bexar",48829.9918369689,0.0573204370174683,17236987.11845,353,0.0573204370174683,851877.521835503,0.0573204370174683,TRUE,0.6957,48029,14,66,14.8859323059513,3.39871572204783,15.8240796262389,231377,11.8482130923991,25.7249046646351,14.0833737306067,8.70969516459854,7.10384808200147,2.74113177557028,27.6743189288642,60.218614604451,5.92768698248798,29.1573777394524,2.62834581630564,4.1938247058916,7.16249243608987,23.6095203931246,84.771753671644,58.526511013839,26.5525072888589,13.5479257204379,1952843,57157,161800,1,1,296575,10180,36,4.39974586929557,41.473488986161,1,607.9116551
"16","Blanco",720.549035452332,0.123914159478404,254353.809514673,353,0.123914159478404,5814.90475733654,0.123914159478404,TRUE,0.0711,48031,15,1,8.4503799217131,3.04757955841194,9.88439306358381,2874,25.0392054364872,18.2784457222513,16.4968376669009,4.30577941515082,0.0261369576581286,1.43753267119707,76.9907649416275,19.3761979438927,2.21069868995633,6.21556473829201,14.7210743801653,4.07552383145291,2.76306700437486,20.9812108559499,83.3889669711876,78.5862307160949,39.0743725535344,7.27607644485379,11478,66390,246400,8,6,3288,133,0,4.6276965901183,21.4137692839051,0,6.248388545
"17","Borden",48.8878329935831,0.160850403059424,17257.4050467348,353,0.160850403059424,303.933543613952,0.160850403059424,TRUE,0.0158,48033,221,0,7.04845814977974,1.32743362831858,5.26315789473684,167,27.2430668841762,29.2006525285481,23.1647634584013,4.40528634361234,0,0,83.8499184339315,13.7030995106036,0,2.71604938271605,13.8271604938272,0.440528634361234,4.40528634361234,16.1676646706587,94.4535073409462,75.7709251101322,40.5286343612335,5.2863436123348,613,72188,153300,8,6,57,11,0,6.58682634730539,24.2290748898678,0,0.263727821
"18","Bosque",694.099510838945,0.0718908248116087,245017.127326148,353,0.0718908248116087,9654.91093832692,0.0718908248116087,TRUE,0.2648,48035,16,4,13.3823325474969,2.28853034496726,13.4823744849687,4504,24.6174027109751,21.3161346742457,18.3377896613191,5.06171127444182,1.61237428946218,0.546567555749891,77.8257542632269,18.3428071709663,2.29831957036438,4.42305723354152,16.4943176000819,4.39606157259742,2.98155595617806,19.5159857904085,82.748440285205,77.3679101372903,40.757176535848,8.54250450700319,18296,52148,121700,6,6,5294,236,1,5.23978685612789,22.6320898627097,0,7.186433679
"19","Bowie",51.0991501416431,0.00111998521924572,18038,353,0.00111998521924572,45624.8433136081,0.00111998521924572,TRUE,0.6245,48037,17,8,17.918769808663,3.00400081372483,11.2477864912725,15268,16.351621989226,23.7199190344104,12.0615433673469,10.6878741636342,24.3839225472032,1.03991517890611,63.7893181112313,7.60176924806957,1.24619504268418,18.020438396063,12.5316996007733,3.53327855382087,6.77309543373635,26.8862981399004,86.2153790087464,63.4581523653011,32.6622843056697,13.3378330789999,93373,50164,119400,3,4,19381,1343,6,8.79617500654965,36.5418476346989,1,40.73608844
"20","Brazoria",28760.3784192423,0.176759733189242,10152413.5819925,353,0.176759733189242,162708.88114801,0.176759733189242,TRUE,0.2134,48039,18,13,8.90531010590588,2.83196158873733,12.0675446049278,41745,11.5740676561023,26.5109779664353,9.34584530342388,6.35106111600273,13.6482226479648,6.5995336547659,47.208998633126,30.626571697114,3.81732379176175,16.7171735700921,10.6922992258869,3.6272968903006,2.97803707940061,21.8421367828482,85.9667532527108,72.1221497165146,23.6901656476552,7.331122503559,360677,81447,197700,1,2,54027,1925,5,4.61133069828722,27.8778502834854,1,102.1500679
"21","Brazos",5299.86402266289,0.0498454839378026,1870852,353,0.0498454839378026,106325.8615219,0.0498454839378026,TRUE,0.3478,48041,19,6,23.3868936684632,2.4036612568264,12.813398662495,19786,8.87340176965751,20.5600477170701,8.4796699250287,7.60968115650028,10.2802480928868,6.10769527448527,55.7944398850126,25.5604737623385,4.26662334745985,38.9071962949768,6.48379052369077,3.39621215937138,5.33798418375057,24.7700394218134,87.6994927201453,47.1276381403314,18.4065380547021,8.81227018586612,222981,49181,201800,3,4,24631,828,6,4.18477711513191,52.8723618596686,1,146.8825027
"22","Brewster",502.767705382436,0.0918551921560346,177477,353,0.0918551921560346,5473.48161362924,0.0918551921560346,TRUE,0.3715,48043,222,0,16.8542074363992,2.6043711556079,14.3465491923642,2072,22.4461055140288,19.1636875744773,18.436303991252,4.45205479452055,0.205828187628643,1.49496262593435,50.2870761564294,44.7730473404832,2.49942935402876,14.7143890093999,18.6912509038322,2.34833659491194,4.67221135029354,26.0617760617761,84.024056861673,57.8033268101761,34.2221135029354,13.087084148728,9231,47080,151400,7,6,2239,103,1,4.97104247104247,42.1966731898239,0,0.576365821
"23","Briscoe",4.58640226628895,0.00569013900148752,1619,353,0.00569013900148752,806.026402007046,0.00569013900148752,TRUE,0.166,48045,223,0,12.1262458471761,2.40963855421687,13.9312977099237,372,25.531914893617,16.2663006177076,16.3349347975292,2.49169435215947,0.823610157858614,0,57.9958819492107,35.621139327385,4.12811387900356,3.61083249749248,11.3340020060181,1.49501661129568,4.31893687707641,28.494623655914,76.8702814001373,69.2691029900332,47.3421926910299,9.30232558139535,1457,40227,66000,9,6,393,33,0,8.87096774193548,30.7308970099668,0,0.625056019
"24","Brooks",217.178277377567,0.0765116815218123,76663.931914281,353,0.0765116815218123,2838.49829278229,0.0765116815218123,TRUE,0.9921,48047,20,1,37.688679245283,6.0132401618242,31.1835927847788,1041,14.5777902254586,26.4668813891612,18.8541982418915,9.62264150943396,0,0,6.69374037249685,93.0681977314102,7.67941490172177,8.148861084376,11.7420596727623,4.66981132075472,10.6132075471698,28.9145052833814,77.5386480751743,61.3207547169811,43.2075471698113,35.6132075471698,7141,28333,67800,7,6,1582,70,0,6.72430355427474,38.6792452830189,0,2.922714027
"25","Brown",775.923513491124,0.0402190951023071,273901.000262367,353,0.0402190951023071,19292.4159908962,0.0402190951023071,TRUE,0.2767,48049,21,7,12.6656950517038,2.3271754030942,12.782935624952,7388,19.5165764099855,22.1555937128517,16.3082778306375,5.26754112013325,3.53189803196407,0.713247919693568,71.628582749967,22.2480517765157,1.69963778211201,10.364086622056,17.903999156963,1.66562565063502,4.79561385245333,28.0996210070384,85.5403017534321,72.461655909501,39.7182316607676,11.2637934624193,37855,48365,102500,5,5,9008,472,1,6.38873849485652,27.538344090499,0,15.47552703
"26","Burleson",272.461756373938,0.0298817249251491,96179,353,0.0298817249251491,9118.00630841857,0.0298817249251491,TRUE,0.3518,48051,22,2,11.3803230543319,2.7378507871321,17.4932657265093,3689,20.4286188946727,22.2339129471702,16.9107781753131,3.7151248164464,13.1243770074205,0.0387639827223391,64.7247757226714,20.6888913500941,3.16273043170976,5.38954688688471,30.6421818972074,3.87665198237885,4.05286343612335,21.3879100027108,84.7998658318426,78.1644640234949,37.3421439060206,9.4273127753304,18058,57731,121900,3,4,4453,151,1,4.09325020330713,21.8355359765051,1,10.57948201
"27","Burnet",1750.8045325779,0.0781001033545238,618034,353,0.0781001033545238,22417.4419415348,0.0781001033545238,TRUE,0.1897,48053,23,3,8.78576121364152,2.36072016570184,11.6616110549376,10203,21.9277885235332,21.3862024500322,18.0348556384761,6.20557845069581,1.75155813453686,0.859660434128519,73.5998280679132,22.2265205243929,2.15582708045247,9.78370552362567,15.1669372175668,3.70901272173446,3.64928626888849,21.5132804077232,84.747938469572,77.1904676581258,43.1045810189333,7.04174879053933,46530,59492,192000,6,6,10574,472,2,4.62609036557875,22.8095323418742,0,18.0687596
"28","Caldwell",633.586402266289,0.035156692607706,223656,353,0.035156692607706,18021.7863305894,0.035156692607706,TRUE,0.8063,48055,24,5,15.4903417533432,1.51420123644835,21.7627019304736,5771,13.6935269552012,24.0793470007593,14.1987323451615,7.4665676077266,5.59984813971147,0.965736522399393,39.668754745634,52.1853644646925,5.62613889451306,10.9476794949291,25.7707032037074,7.34026745913819,4.27934621099554,23.3408421417432,76.590807007037,67.3922734026746,32.2362555720654,11.4561664190193,42144,54152,144800,1,2,7769,367,2,6.3593831225091,32.6077265973254,1,29.84353222
"29","Calhoun",1364.96317280453,0.134457297380599,481832,353,0.134457297380599,10151.6481395638,0.134457297380599,TRUE,0.7826,48057,25,2,12.5164864151939,3.31801037246582,20.6815020862309,3769,17.3943141960495,24.71386376223,18.5553068457377,7.29359008177262,2.33062580764261,5.26121469448034,42.288166882038,48.8693003507476,6.69567797448324,10.4811854811855,15.4678654678655,8.5069902400422,3.53468741756792,22.5258689307509,80.9084126095878,72.7776312318649,32.0100237404379,15.061988921129,21668,58776,120200,6,5,4180,126,1,3.34306182011144,27.2223687681351,0,16.50634903
"30","Callahan",361.070822426573,0.0502467554356549,127458.00031658,353,0.0502467554356549,7185.95298932195,0.0502467554356549,FALSE,0.0791,48059,26,2,13.1917272219117,2.22739064317023,11.799979672731,2848,20.554272517321,22.3874133949192,19.9360883143293,3.80100614868642,0.909353348729792,0.4979792147806,85.9988452655889,9.62759815242494,0.942249240121581,2.75297619047619,22.4107142857143,1.90050307434321,3.3910937208869,30.1966292134831,82.0829399375409,82.0942798583939,41.4756847400783,9.48388298863425,13856,48651,94900,3,4,3147,203,0,7.12780898876404,17.9057201416061,1,5.948406744
"31","Cameron",8524.52974504249,0.0510954448473308,3009159,353,0.0510954448473308,166835.414986857,0.0510954448473308,TRUE,0.9526,48061,27,13,27.7091609485976,3.21919726907317,32.1025545509392,55465,13.1537757371948,30.7670051652256,12.411924635844,12.3614622206172,0.399131065819867,0.66213543420622,8.95732641474532,89.6636200215336,16.4735835401158,21.5419336051252,11.6071901307778,10.9016492115084,6.9170579029734,20.8798341296313,71.6052412734798,65.8857991252357,31.4722523173227,24.7357650174552,421666,38758,85800,2,3,64556,1941,7,3.49950419183269,34.1142008747643,1,182.5914807
"32","Camp",12.7016862229392,0.00206005572809641,4483.69523669755,353,0.00206005572809641,6165.70030106719,0.00206005572809641,TRUE,0.7984,48063,28,1,19.2399565689468,3.90099816663272,12.8077651515152,2378,18.4656002484858,26.378319614847,16.2263268646247,5.92833876221498,15.809908370865,0.434850132008076,55.7772946109644,24.9650566858208,4.26081881097307,6.60914581535807,19.7756686798965,3.95222584147666,6.36264929424539,24.1379310344828,83.0488660275894,72.4212812160695,37.9370249728556,18.9793702497286,12878,48207,101600,6,6,3206,176,1,7.40117746005046,27.5787187839305,0,25.38822646
"33","Carson",4.67988668555241,0.00152765941527387,1652,353,0.00152765941527387,3063.43589334239,0.00152765941527387,TRUE,0,48065,224,0,6.9055944055944,1.44557823129252,6.65371539582322,1098,18.27259111333,24.5631552670994,10.8506363027461,4.10839160839161,0.798801797304044,0.36611749043102,85.7214178731902,9.91845564985855,0.500894454382827,2.39628040057225,9.44206008583691,1.57342657342657,2.18531468531469,27.4134790528233,90.1038178164769,81.0314685314685,30.6381118881119,4.45804195804196,6009,74872,114300,2,3,1150,82,0,7.46812386156649,18.9685314685315,1,2.521191152
"34","Cass",42.8866855524079,0.00268400718232753,15139,353,0.00268400718232753,15978.6031255018,0.00268400718232753,TRUE,0.6008,48067,29,5,15.9711747947042,3.91438327642209,14.0781539338113,6586,21.9102431883962,22.572274526764,18.3943671461779,6.04156192391487,17.0764163811171,0.552247247080741,76.3099238164942,4.49782095212748,0.472646467496737,7.50871914107912,20.139506257266,4.67571644042232,7.74258421317245,29.0009110233829,86.2547586160428,79.3447293447293,42.9193899782135,16.8258756494051,30059,44848,87100,6,6,8257,595,1,9.0343152140905,20.6552706552707,0,12.3866263
"35","Castro",11.9884953441421,0.00353629267285749,4231.93885648215,353,0.00353629267285749,3390.13097987017,0.00353629267285749,TRUE,0.7549,48069,30,2,11.8483412322275,1.49700598802395,25.8528212829865,1164,15.1700768930014,29.0629479994787,9.28853754940712,7.97788309636651,2.1243320735045,0.612537469047309,31.9562100873192,64.60315391633,9.40943769426392,11.11458985598,10.2692548528491,6.39810426540284,8.41232227488152,23.7972508591065,76.4822134387352,64.4549763033175,30.4107424960506,13.1516587677725,7673,50142,81900,6,6,1152,60,1,5.15463917525773,35.5450236966825,0,3.312181081
"36","Chambers",3267.84135173221,0.17347822027153,1153547.99716147,353,0.17347822027153,18837.1851326198,0.17347822027153,TRUE,0.1462,48071,31,2,11.5644324401166,3.66051708457841,11.4637975265153,4494,10.8800387362305,28.0450308679337,10.0650854398752,4.86175278982159,7.25578017189202,1.12577169834161,66.9676794576928,22.4355404914659,3.15169137308861,6.44854479741297,15.9913765772621,2.93553202075485,3.26959982941218,26.3239875389408,88.6673329595593,82.9412182813277,25.9009169095174,8.82791953941289,41305,91141,200400,1,2,5428,212,2,4.71740097908322,17.0587817186723,1,26.70665362
"37","Cherokee",1083.55085189129,0.0446176943361697,382493.450717627,353,0.0446176943361697,24285.2273747571,0.0446176943361697,FALSE,0.834,48073,32,6,16.0105855110817,3.33060129647567,20.9759543220414,8886,17.0497716719751,25.5593077247784,12.3415542866399,8.72202006836476,13.4982155877048,0.435550097854868,60.6853678191796,23.135960704555,5.45578540577404,8.33842251139193,19.6035138817118,7.21689271143456,5.39199470724446,22.2034661264911,80.9723403393674,71.8601830411291,36.5255265189106,15.806593891278,52118,48186,102900,6,5,8926,505,2,5.68309700652712,28.1398169588709,0,19.11085127
"38","Childress",161.161473087819,0.0500071796698492,56890,353,0.0500071796698492,3222.76669373913,0.0500071796698493,FALSE,0.5613,48075,33,1,13.377648525135,4.15230592483177,18.018539976825,1004,13.8425479112092,17.7305942368675,18.688011136245,7.72746157041961,8.03805321935751,0.537708534399559,58.4585688680546,31.0078588170412,2.74701567668632,15.2577319587629,9.58762886597938,0.457000415454923,5.65018695471541,37.3505976095618,81.8862014964329,59.8670544245949,35.7706688824263,7.68591607810553,7253,43181,85500,7,6,1310,97,1,9.66135458167331,40.1329455754051,0,4.020611102
"39","Clay",185.533980196155,0.0337565087482137,65493.4950092429,353,0.0337565087482137,5496.24315654306,0.0337565087482137,TRUE,0.0751,48077,34,1,11.7661388550548,2.92980194538849,9.46017464937814,2373,22.8107276747092,20.4460251850428,18.2585086783671,4.26309378806334,0.451792752090743,1.12467557435355,89.7721811016053,6.27703547053735,2.12166918049271,1.88320334791706,15.4460719041278,2.72838002436054,2.3142509135201,22.5453013063633,87.4042470668089,84.3605359317905,41.9001218026797,11.5956151035323,10403,55989,101000,3,4,1856,121,1,5.09903076274758,15.6394640682095,1,3.689176917
"40","Cochran",0.097987974657232,7.33313133984948e-05,34.5897550540029,353,7.33313133984949e-05,1336.23646047015,7.33313133984948e-05,TRUE,0.8261,48079,225,0,25.751503006012,4.8614266242617,32.3232323232323,455,15.7603048146865,27.0523034291652,15.9622773314705,4.40881763527054,3.84482161413232,0,36.0581918947004,58.7114651887773,11.2897196261682,2.67260579064588,8.61172976985895,5.31062124248497,6.01202404809619,29.2307692307692,72.651065316102,78.3567134268537,36.87374749499,16.3326653306613,2887,40962,38800,9,6,557,51,1,11.2087912087912,21.6432865731463,0,1.438140175
"41","Coke",169.345609065156,0.0769341838105186,59779,353,0.0769341838105186,2201.17509119532,0.0769341838105186,FALSE,0.3281,48081,35,2,13.5644768856448,1.59377316530764,16.2669864108713,941,28.4892521949743,20.9203754162882,17.3736743605739,5.83941605839416,0.968816227671814,0,76.2034514078111,21.5258855585831,2.21183800623053,2.5527192008879,26.7110617832038,1.39902676399027,3.22384428223844,31.6684378320935,85.1840299438553,74.1484184914842,41.1192214111922,9.36739659367397,3303,45000,69100,8,6,883,53,0,5.63230605738576,25.8515815085158,0,1.398892714
"42","Coleman",8.78753541076487,0.00191737655436885,3102,353,0.00191737655436885,4583.10361141216,0.00191737655436885,TRUE,0.1502,48083,36,2,17.0902716914987,1.82917834488863,13.4862534569709,2059,24.7060235181185,21.418286537077,15.4837932280998,2.65848670756646,1.60787137029038,0.503959683225342,76.8298536117111,17.518598512119,2.80813214739517,4.21697603171743,14.7233735808254,0.964066608238387,4.70347648261759,29.04322486644,76.7923846246536,74.5836985100789,40.724510663161,11.4811568799299,8334,46743,76500,6,6,2491,174,1,8.45070422535211,25.4163014899211,0,2.547896708
"43","Collin",17708.907284661,0.038768327276736,6251244.27148533,353,0.038768327276736,456788.015594568,0.038768327276736,TRUE,0.0237,48085,37,26,6.2199007512538,2.6282226108161,6.18036495344086,104035,10.681463730663,26.2961035014174,6.91242768554617,6.02732418228237,9.63102824810031,15.0892680217295,56.9612013425368,15.2668902859102,4.06789350733837,26.8632385903656,1.51559376359601,2.4346133666312,2.77726482649056,19.7385495266016,89.5627253873419,65.0211189372822,18.4011748050052,3.39632375140329,973977,96913,315300,1,1,112750,3468,26,3.33349353582929,34.9788810627178,1,446.9380676
"44","Collingsworth",0.0226628895184136,1.63539307863826e-05,8,353,1.63539307863826e-05,1385.77628916494,1.63539307863826e-05,TRUE,0.7787,48087,38,1,18.743961352657,5.62390158172232,26.1444557477111,504,16.9754125968339,25.0589424048501,17.0110192837466,9.66183574879227,8.35298080161671,0,60.0875715729202,28.7638935668575,4.34938892882818,4.8354600402955,7.58898589657488,3.86473429951691,5.99033816425121,22.2222222222222,76.7217630853995,75.2657004830918,33.2367149758454,19.7101449275362,2969,39120,52200,9,6,615,69,1,13.6904761904762,24.7342995169082,0,1.248134562
"45","Colorado",2095.38513553637,0.21006553745599,739670.952844339,353,0.21006553745599,9974.91145340945,0.21006553745599,FALSE,0.5257,48089,39,4,10.8456375838926,2.04081632653061,16.9061235876691,4594,21.6453071993969,23.5158311345646,12.9513606580898,5.36912751677852,12.6413494157557,0.0235582359592914,55.9319638145496,29.7304937806257,4.08389633961884,5.91036414565826,18.5714285714286,7.2751677852349,5.38255033557047,26.4910753156291,85.0399349562389,82.4429530201342,41.9328859060403,6.68456375838926,21224,52559,124400,6,6,4963,185,2,4.02699172834132,17.5570469798658,0,8.533531003
"46","Comal",5062.42492917847,0.0736074236955663,1787036,353,0.0736074236955663,68776.0102855414,0.0736074236955663,TRUE,0.0356,48091,40,6,7.39190530885588,2.06758461307765,7.38433803273375,25397,17.9304161195126,22.7270159980797,14.063835241839,4.88445889384235,1.99658293444035,1.11337032801005,67.5096369720846,27.3619406673162,1.97889972875362,15.338340695416,9.99639057424245,2.25241886814492,3.31925165962583,18.6793715793204,88.519768700507,74.8788132458582,33.4475441431269,5.08302996086982,141642,79936,282300,1,2,38532,1183,4,4.65803047604048,25.1211867541418,1,97.74061556
